year,austria,belgium,denmark,finland,france,germany,greece,ireland,italy,luxembourg,netherlands,portugal,spain,sweden,united_kingdom_note_1,bulgaria,croatia,cyprus,czechia,estonia,hungary,latvia,lithuania,malta,poland,romania,slovakia,slovenia,uk_rank_in_eu14_plus_uk,uk_rank_in_eu27_plus_uk,currency,unit,gbp_to_usd_rate
2498.75,20.101418119517742,15.791110352281487,16.767860746720483,13.070914862430685,13.007807676417812,15.864108843815668,15.958363799004356,18.642440734674178,17.555138552474606,16.429933514956655,19.67242173425723,16.898135805209446,15.581359008570432,17.18216759587768,11.8875,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,19.679885249594843,15.774018093748372,16.767860746720483,12.8331854330755,12.745023682954828,14.938702494593091,16.256560749844432,17.82823610264615,17.47176733487582,16.429933514956655,18.30356535115782,16.16730336139903,15.497961442068442,17.570465168665873,12.0625,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,20.153405085644934,16.639313681987314,17.23170198452741,16.97996944866316,12.942111678052065,15.952242781836869,16.88888845675171,17.466002590278833,18.36200991468132,17.34864241111158,19.32043009288881,16.16730336139903,15.968820994554836,18.19174128512699,11.7375,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,19.409429936120578,18.62620600199802,19.150818580499354,17.657015517859037,14.848452337577008,18.30423656452759,19.12697228555583,17.030302453146426,20.14609255811431,19.519913906578847,21.12654341995998,16.476601452998274,17.69835225018932,20.068378603104215,15.6625,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2498.75,20.201929645429246,19.24341904665108,19.781686398493207,20.817380855672894,15.535002675480253,15.229857656340275,19.593194474372787,18.020404794555336,20.63279124941253,20.2497713182234,21.379690385758565,17.618103308526457,18.135432818866974,20.450634149066936,15.5,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2498.75,20.052019214697353,18.40683758512044,19.781686398493207,20.714964121310587,15.137507870180515,16.70643665349238,19.000354163460056,19.492420418761746,20.597421505007052,19.697504827726398,21.042707525037322,18.482401599644856,18.473643515680404,20.37687171751034,15.25,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2498.75,20.951481799088683,20.401133245248502,22.001853222117585,21.595359463850528,16.61553444051973,19.659594647796588,20.402952362628906,19.925119673421708,22.124286495426773,21.170215469051733,23.588800250486678,18.77050103001766,19.98021843784934,21.852120348642305,16.4875,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,22.755204101654762,24.972672527695906,23.95560002690704,22.66018819388031,17.66210304181524,21.431489444379114,21.644259388948747,20.444777858194932,22.69275925490763,22.99064945624555,24.562306292570263,20.86951116559093,21.39802544985756,23.032319253547882,18.5125,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2498.75,23.90411764278395,21.828844394755563,23.067533297457288,25.367431627403192,18.9979874824112,22.317436842670375,22.208651492996765,22.089663644674694,23.686947371750847,22.99064945624555,24.22532343184902,22.927364239682365,21.76995803432981,23.401131411330876,18.675,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,24.803580227175267,22.927241081410713,22.357079913897486,24.332300974817215,19.64580338345349,21.979933071892752,23.01383734800677,23.5616792688811,24.11308887061206,23.358827116576887,24.861846613211355,22.886207178200536,21.90484558496508,24.802617610906246,19.55,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2498.75,23.457246662500097,20.26872184859159,22.252111094676547,23.736963753819964,19.036552700863012,21.336235766912253,21.423820852359206,22.74059933541909,23.307048907177197,22.54493070136515,24.320821478325186,26.85554045999142,21.24786663240898,22.422163871641615,19.0375,,,,,,,,,,,,,,2.5,,USD,USD per litre (converted from GBP),1.25
2498.75,25.241527619310624,24.201252667954062,24.393796474337428,24.318801980581025,21.6103723262348,22.95681245302506,23.234998211567728,22.991373875646932,25.055045699979857,24.124260347695458,26.16385549822799,26.85554045999142,21.836104149387573,25.0100475831254,21.225,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
2500.0,24.08211430710086,22.054610013906828,21.8301958387621,24.142913002272223,21.172584083255455,20.335707027195618,20.96083206480784,22.939801241549887,23.762609062785664,22.534602837389286,23.571772147877894,30.87778123472431,21.32199088264638,21.9498927287487,21.200000000000003,,,,,,,,,,,,,,5.0,,USD,USD per litre (converted from GBP),1.25
2500.0,24.961086059170214,23.45891660613933,25.00446950261253,25.409359405825693,21.020608401160445,21.630014495124836,24.848213578246,23.761055133297102,24.884011501495145,24.008556045007552,23.33685013000803,30.570045752237107,22.2602360625293,24.38148987520603,20.924999999999997,,,,,,,,,,,,,,1.25,,USD,USD per litre (converted from GBP),1.25
